cluster_size,tet_per_block,nelements,clock,Throughput
32 , 8 , 24942592 , 2.799369e-01, 8.910078e+07 
32 , 8 , 24942592 , 2.806414e-01, 8.887709e+07 
32 , 8 , 24942592 , 2.805645e-01, 8.890145e+07 
32 , 8 , 24942592 , 2.801163e-01, 8.904369e+07 
32 , 8 , 24942592 , 2.803396e-01, 8.897276e+07 
32 , 8 , 24942592 , 2.803198e-01, 8.897907e+07 
32 , 8 , 24942592 , 2.801297e-01, 8.903944e+07 
32 , 8 , 24942592 , 2.799473e-01, 8.909746e+07 
32 , 12 , 24942592 , 2.502128e-01, 9.968553e+07 
32 , 12 , 24942592 , 2.488043e-01, 1.002499e+08 
32 , 12 , 24942592 , 2.487998e-01, 1.002517e+08 
32 , 12 , 24942592 , 2.485248e-01, 1.003626e+08 
32 , 12 , 24942592 , 2.487176e-01, 1.002848e+08 
32 , 12 , 24942592 , 2.485419e-01, 1.003557e+08 
32 , 12 , 24942592 , 2.483109e-01, 1.004490e+08 
32 , 12 , 24942592 , 2.484271e-01, 1.004021e+08 
32 , 12 , 24942592 , 2.487447e-01, 1.002739e+08 
32 , 12 , 24942592 , 2.480973e-01, 1.005355e+08 

48 , 4 , 24942592 , 2.224028e-01, 1.121505e+08 
48 , 4 , 24942592 , 2.202961e-01, 1.132230e+08 
48 , 4 , 24942592 , 2.197956e-01, 1.134808e+08 
48 , 4 , 24942592 , 2.207602e-01, 1.129850e+08 
48 , 4 , 24942592 , 2.197503e-01, 1.135042e+08 
48 , 4 , 24942592 , 2.189628e-01, 1.139125e+08 
48 , 4 , 24942592 , 2.210016e-01, 1.128616e+08 
48 , 4 , 24942592 , 2.212103e-01, 1.127551e+08 
48 , 4 , 24942592 , 2.185535e-01, 1.141258e+08 
48 , 4 , 24942592 , 2.209060e-01, 1.129104e+08 
48 , 6 , 24942592 , 2.427908e-01, 1.027328e+08 
48 , 6 , 24942592 , 2.416137e-01, 1.032333e+08 
48 , 6 , 24942592 , 2.397181e-01, 1.040497e+08 
48 , 6 , 24942592 , 2.422342e-01, 1.029689e+08 
48 , 6 , 24942592 , 2.433900e-01, 1.024799e+08 
48 , 6 , 24942592 , 2.428031e-01, 1.027277e+08 
48 , 6 , 24942592 , 2.439597e-01, 1.022406e+08 
48 , 6 , 24942592 , 2.383143e-01, 1.046626e+08 
48 , 6 , 24942592 , 2.381226e-01, 1.047469e+08 
48 , 6 , 24942592 , 2.419464e-01, 1.030914e+08 
48 , 8 , 24942592 , 2.930944e-01, 8.510088e+07 
48 , 8 , 24942592 , 2.917316e-01, 8.549842e+07 
48 , 8 , 24942592 , 2.910337e-01, 8.570346e+07 
48 , 8 , 24942592 , 2.916195e-01, 8.553130e+07 
48 , 8 , 24942592 , 2.916944e-01, 8.550933e+07 
48 , 8 , 24942592 , 2.917069e-01, 8.550566e+07 
48 , 8 , 24942592 , 2.915105e-01, 8.556326e+07 
48 , 8 , 24942592 , 2.918715e-01, 8.545745e+07 
48 , 8 , 24942592 , 2.915169e-01, 8.556140e+07 
48 , 8 , 24942592 , 2.915767e-01, 8.554384e+07 
48 , 12 , 24942592 , 2.699030e-01, 9.241318e+07 
48 , 12 , 24942592 , 2.674597e-01, 9.325740e+07 
48 , 12 , 24942592 , 2.672200e-01, 9.334103e+07 
48 , 12 , 24942592 , 2.676562e-01, 9.318891e+07 
48 , 12 , 24942592 , 2.678528e-01, 9.312052e+07 
48 , 12 , 24942592 , 2.677405e-01, 9.315957e+07 
48 , 12 , 24942592 , 2.673711e-01, 9.328828e+07 
48 , 12 , 24942592 , 2.674198e-01, 9.327131e+07 
48 , 12 , 24942592 , 2.675464e-01, 9.322718e+07 
48 , 12 , 24942592 , 2.676959e-01, 9.317510e+07 

64 , 4 , 24942592 , 2.332800e-01, 1.069213e+08 
64 , 4 , 24942592 , 2.350358e-01, 1.061225e+08 
64 , 4 , 24942592 , 2.359332e-01, 1.057189e+08 
64 , 4 , 24942592 , 2.296029e-01, 1.086336e+08 
64 , 4 , 24942592 , 2.325584e-01, 1.072530e+08 
64 , 4 , 24942592 , 2.336353e-01, 1.067587e+08 
64 , 4 , 24942592 , 2.311424e-01, 1.079101e+08 
64 , 4 , 24942592 , 2.301912e-01, 1.083560e+08 
64 , 4 , 24942592 , 2.296316e-01, 1.086200e+08 
64 , 4 , 24942592 , 2.327970e-01, 1.071431e+08 
64 , 6 , 24942592 , 2.547281e-01, 9.791848e+07 
64 , 6 , 24942592 , 2.489177e-01, 1.002042e+08 
64 , 6 , 24942592 , 2.524840e-01, 9.878879e+07 
64 , 6 , 24942592 , 2.494565e-01, 9.998774e+07 
64 , 6 , 24942592 , 2.515853e-01, 9.914171e+07 
64 , 6 , 24942592 , 2.505522e-01, 9.955047e+07 
64 , 6 , 24942592 , 2.532509e-01, 9.848963e+07 
64 , 6 , 24942592 , 2.501694e-01, 9.970280e+07 
64 , 6 , 24942592 , 2.520350e-01, 9.896481e+07 
64 , 6 , 24942592 , 2.505018e-01, 9.957053e+07 
64 , 8 , 24942592 , 3.126083e-01, 7.978864e+07 
64 , 8 , 24942592 , 3.114715e-01, 8.007985e+07 
64 , 8 , 24942592 , 3.118453e-01, 7.998385e+07 
64 , 8 , 24942592 , 3.118739e-01, 7.997652e+07 
64 , 8 , 24942592 , 3.114265e-01, 8.009143e+07 
64 , 8 , 24942592 , 3.116562e-01, 8.003240e+07 
64 , 8 , 24942592 , 3.117211e-01, 8.001572e+07 
64 , 8 , 24942592 , 3.112344e-01, 8.014086e+07 
64 , 8 , 24942592 , 3.115816e-01, 8.005156e+07 
64 , 8 , 24942592 , 3.116679e-01, 8.002939e+07 
64 , 12 , 24942592 , 2.897238e-01, 8.609095e+07 
64 , 12 , 24942592 , 2.877814e-01, 8.667202e+07 
64 , 12 , 24942592 , 2.878729e-01, 8.664446e+07 
64 , 12 , 24942592 , 2.884312e-01, 8.647673e+07 
64 , 12 , 24942592 , 2.896105e-01, 8.612461e+07 
64 , 12 , 24942592 , 2.896541e-01, 8.611166e+07 
64 , 12 , 24942592 , 2.893187e-01, 8.621147e+07 
64 , 12 , 24942592 , 2.901544e-01, 8.596318e+07 
64 , 12 , 24942592 , 2.892458e-01, 8.623320e+07 
64 , 12 , 24942592 , 2.897428e-01, 8.608528e+07 

96 , 4 , 24942592 , 2.523285e-01, 9.884967e+07 
96 , 4 , 24942592 , 2.516583e-01, 9.911294e+07 
96 , 4 , 24942592 , 2.524855e-01, 9.878821e+07 
96 , 4 , 24942592 , 2.530220e-01, 9.857875e+07 
96 , 4 , 24942592 , 2.502203e-01, 9.968252e+07 
96 , 4 , 24942592 , 2.510222e-01, 9.936407e+07 
96 , 4 , 24942592 , 2.511266e-01, 9.932277e+07 
96 , 4 , 24942592 , 2.504196e-01, 9.960321e+07 
96 , 4 , 24942592 , 2.515075e-01, 9.917236e+07 
96 , 4 , 24942592 , 2.531495e-01, 9.852910e+07 
96 , 6 , 24942592 , 2.779542e-01, 8.973634e+07 
96 , 6 , 24942592 , 2.778290e-01, 8.977677e+07 
96 , 6 , 24942592 , 2.801579e-01, 8.903047e+07 
96 , 6 , 24942592 , 2.750083e-01, 9.069761e+07 
96 , 6 , 24942592 , 2.734734e-01, 9.120665e+07 
96 , 6 , 24942592 , 2.767272e-01, 9.013422e+07 
96 , 6 , 24942592 , 2.779259e-01, 8.974546e+07 
96 , 6 , 24942592 , 2.758618e-01, 9.041699e+07 
96 , 6 , 24942592 , 2.777723e-01, 8.979510e+07 
96 , 6 , 24942592 , 2.757480e-01, 9.045428e+07 
96 , 8 , 24942592 , 3.410258e-01, 7.313990e+07 
96 , 8 , 24942592 , 3.394643e-01, 7.347633e+07 
96 , 8 , 24942592 , 3.398168e-01, 7.340012e+07 
96 , 8 , 24942592 , 3.395376e-01, 7.346047e+07 
96 , 8 , 24942592 , 3.397729e-01, 7.340960e+07 
96 , 8 , 24942592 , 3.393636e-01, 7.349815e+07 
96 , 8 , 24942592 , 3.397319e-01, 7.341846e+07 
96 , 8 , 24942592 , 3.393085e-01, 7.351008e+07 
96 , 8 , 24942592 , 3.393022e-01, 7.351143e+07 
96 , 8 , 24942592 , 3.399197e-01, 7.337790e+07 
96 , 12 , 24942592 , 3.169926e-01, 7.868510e+07 
96 , 12 , 24942592 , 3.159019e-01, 7.895675e+07 
96 , 12 , 24942592 , 3.164762e-01, 7.881349e+07 
96 , 12 , 24942592 , 3.163860e-01, 7.883595e+07 
96 , 12 , 24942592 , 3.159653e-01, 7.894093e+07 
96 , 12 , 24942592 , 3.165513e-01, 7.879479e+07 
96 , 12 , 24942592 , 3.155699e-01, 7.903983e+07 
96 , 12 , 24942592 , 3.156901e-01, 7.900974e+07 
96 , 12 , 24942592 , 3.155017e-01, 7.905691e+07 
96 , 12 , 24942592 , 3.157242e-01, 7.900122e+07 

128 , 4 , 24942592 , 2.748041e-01, 9.076499e+07 
128 , 4 , 24942592 , 2.701595e-01, 9.232544e+07 
128 , 4 , 24942592 , 2.734219e-01, 9.122383e+07 
128 , 4 , 24942592 , 2.720303e-01, 9.169049e+07 
128 , 4 , 24942592 , 2.769357e-01, 9.006637e+07 
128 , 4 , 24942592 , 2.692193e-01, 9.264786e+07 
128 , 4 , 24942592 , 2.737255e-01, 9.112265e+07 
128 , 4 , 24942592 , 2.739395e-01, 9.105145e+07 
128 , 4 , 24942592 , 2.691983e-01, 9.265509e+07 
128 , 4 , 24942592 , 2.715359e-01, 9.185742e+07 
128 , 6 , 24942592 , 3.145982e-01, 7.928397e+07 
128 , 6 , 24942592 , 3.187934e-01, 7.824062e+07 
128 , 6 , 24942592 , 3.121036e-01, 7.991767e+07 
128 , 6 , 24942592 , 3.093929e-01, 8.061787e+07 
128 , 6 , 24942592 , 3.104448e-01, 8.034470e+07 
128 , 6 , 24942592 , 3.094884e-01, 8.059299e+07 
128 , 6 , 24942592 , 3.102447e-01, 8.039652e+07 
128 , 6 , 24942592 , 3.160432e-01, 7.892146e+07 
128 , 6 , 24942592 , 3.184683e-01, 7.832050e+07 
128 , 6 , 24942592 , 3.107029e-01, 8.027796e+07 
128 , 8 , 24942592 , 3.712671e-01, 6.718235e+07 
128 , 8 , 24942592 , 3.700291e-01, 6.740710e+07 
128 , 8 , 24942592 , 3.699337e-01, 6.742450e+07 
128 , 8 , 24942592 , 3.699483e-01, 6.742183e+07 
128 , 8 , 24942592 , 3.696125e-01, 6.748308e+07 
128 , 8 , 24942592 , 3.701526e-01, 6.738462e+07 
128 , 8 , 24942592 , 3.703617e-01, 6.734657e+07 
128 , 8 , 24942592 , 3.699131e-01, 6.742825e+07 
128 , 8 , 24942592 , 3.701910e-01, 6.737763e+07 
128 , 8 , 24942592 , 3.698327e-01, 6.744290e+07 
128 , 12 , 24942592 , 3.583821e-01, 6.959775e+07 
128 , 12 , 24942592 , 3.569211e-01, 6.988266e+07 
128 , 12 , 24942592 , 3.569504e-01, 6.987692e+07 
128 , 12 , 24942592 , 3.571615e-01, 6.983561e+07 
128 , 12 , 24942592 , 3.566170e-01, 6.994225e+07 
128 , 12 , 24942592 , 3.569917e-01, 6.986884e+07 
128 , 12 , 24942592 , 3.570177e-01, 6.986374e+07 
128 , 12 , 24942592 , 3.566359e-01, 6.993853e+07 
128 , 12 , 24942592 , 3.572641e-01, 6.981556e+07 
128 , 12 , 24942592 , 3.571338e-01, 6.984102e+07 

192 , 4 , 24942592 , 3.164192e-01, 7.882769e+07 
192 , 4 , 24942592 , 3.207961e-01, 7.775216e+07 
192 , 4 , 24942592 , 3.162574e-01, 7.886800e+07 
192 , 4 , 24942592 , 3.190097e-01, 7.818756e+07 
192 , 4 , 24942592 , 3.183904e-01, 7.833964e+07 
192 , 4 , 24942592 , 3.238872e-01, 7.701013e+07 
192 , 4 , 24942592 , 3.205735e-01, 7.780615e+07 
192 , 4 , 24942592 , 3.195475e-01, 7.805596e+07 
192 , 4 , 24942592 , 3.257628e-01, 7.656673e+07 
192 , 4 , 24942592 , 3.134704e-01, 7.956922e+07 
192 , 6 , 24942592 , 3.537641e-01, 7.050628e+07 
192 , 6 , 24942592 , 3.426682e-01, 7.278934e+07 
192 , 6 , 24942592 , 3.524857e-01, 7.076199e+07 
192 , 6 , 24942592 , 3.494233e-01, 7.138216e+07 
192 , 6 , 24942592 , 3.556311e-01, 7.013614e+07 
192 , 6 , 24942592 , 3.475660e-01, 7.176362e+07 
192 , 6 , 24942592 , 3.472471e-01, 7.182951e+07 
192 , 6 , 24942592 , 3.466163e-01, 7.196024e+07 
192 , 6 , 24942592 , 3.534912e-01, 7.056072e+07 
192 , 6 , 24942592 , 3.445212e-01, 7.239784e+07 
192 , 8 , 24942592 , 4.136751e-01, 6.029512e+07 
192 , 8 , 24942592 , 4.119086e-01, 6.055371e+07 
192 , 8 , 24942592 , 4.119058e-01, 6.055411e+07 
192 , 8 , 24942592 , 4.124981e-01, 6.046717e+07 
192 , 8 , 24942592 , 4.123896e-01, 6.048307e+07 
192 , 8 , 24942592 , 4.125389e-01, 6.046119e+07 
192 , 8 , 24942592 , 4.120489e-01, 6.053309e+07 
192 , 8 , 24942592 , 4.126889e-01, 6.043921e+07 
192 , 8 , 24942592 , 4.123300e-01, 6.049182e+07 
192 , 8 , 24942592 , 4.122801e-01, 6.049914e+07 
192 , 12 , 24942592 , 4.149391e-01, 6.011145e+07 
192 , 12 , 24942592 , 4.135909e-01, 6.030741e+07 
192 , 12 , 24942592 , 4.139198e-01, 6.025948e+07 
192 , 12 , 24942592 , 4.138958e-01, 6.026298e+07 
192 , 12 , 24942592 , 4.142436e-01, 6.021237e+07 
192 , 12 , 24942592 , 4.141840e-01, 6.022104e+07 
192 , 12 , 24942592 , 4.140822e-01, 6.023585e+07 
192 , 12 , 24942592 , 4.140347e-01, 6.024276e+07 
192 , 12 , 24942592 , 4.141481e-01, 6.022627e+07 
192 , 12 , 24942592 , 4.139392e-01, 6.025666e+07 

256 , 4 , 24942592 , 3.570800e-01, 6.985155e+07 
256 , 4 , 24942592 , 3.520311e-01, 7.085338e+07 
256 , 4 , 24942592 , 3.628697e-01, 6.873706e+07 
256 , 4 , 24942592 , 3.525818e-01, 7.074272e+07 
256 , 4 , 24942592 , 3.548337e-01, 7.029375e+07 
256 , 4 , 24942592 , 3.557357e-01, 7.011552e+07 
256 , 4 , 24942592 , 3.586180e-01, 6.955199e+07 
256 , 4 , 24942592 , 3.719111e-01, 6.706601e+07 
256 , 4 , 24942592 , 3.534405e-01, 7.057085e+07 
256 , 4 , 24942592 , 3.598179e-01, 6.932004e+07 
256 , 6 , 24942592 , 3.927428e-01, 6.350872e+07 
256 , 6 , 24942592 , 4.040807e-01, 6.172677e+07 
256 , 6 , 24942592 , 4.004973e-01, 6.227906e+07 
256 , 6 , 24942592 , 4.007087e-01, 6.224620e+07 
256 , 6 , 24942592 , 4.029019e-01, 6.190736e+07 
256 , 6 , 24942592 , 4.208576e-01, 5.926611e+07 
256 , 6 , 24942592 , 4.190811e-01, 5.951734e+07 
256 , 6 , 24942592 , 3.888684e-01, 6.414147e+07 
256 , 6 , 24942592 , 3.982956e-01, 6.262332e+07 
256 , 6 , 24942592 , 4.086981e-01, 6.102939e+07 
256 , 8 , 24942592 , 4.432469e-01, 5.627245e+07 
256 , 8 , 24942592 , 4.420820e-01, 5.642074e+07 
256 , 8 , 24942592 , 4.428606e-01, 5.632154e+07 
256 , 8 , 24942592 , 4.449558e-01, 5.605634e+07 
256 , 8 , 24942592 , 4.453207e-01, 5.601041e+07 
256 , 8 , 24942592 , 4.446804e-01, 5.609105e+07 
256 , 8 , 24942592 , 4.450176e-01, 5.604855e+07 
256 , 8 , 24942592 , 4.447314e-01, 5.608462e+07 
256 , 8 , 24942592 , 4.451253e-01, 5.603499e+07 
256 , 8 , 24942592 , 4.452507e-01, 5.601921e+07 
256 , 12 , 24942592 , 4.663351e-01, 5.348642e+07 
256 , 12 , 24942592 , 4.654215e-01, 5.359140e+07 
256 , 12 , 24942592 , 4.652807e-01, 5.360762e+07 
256 , 12 , 24942592 , 4.676740e-01, 5.333329e+07 
256 , 12 , 24942592 , 4.677691e-01, 5.332244e+07 
256 , 12 , 24942592 , 4.678385e-01, 5.331454e+07 
256 , 12 , 24942592 , 4.675363e-01, 5.334899e+07 
256 , 12 , 24942592 , 4.675611e-01, 5.334617e+07 
256 , 12 , 24942592 , 4.674071e-01, 5.336375e+07 
256 , 12 , 24942592 , 4.677696e-01, 5.332239e+07 

